日期,天數,出發地,到達地,價格,航空公司,購買平台,截圖連結,更新日期
2026-11-18,10,HKG 香港,ARN 斯德哥爾摩,17,231,中國國際航空,mytrip,2026-11-18國航,2026-09-04
2026-11-23,11,TPE 台北,MAD 馬德里,19,785,中國南方航空,易遊網,2026-11-23南航,2026-09-04
2026-11-10,12,ICN 首爾,FRA 法蘭克福,16,908,中國南方航空,Trip.com,2026-11-10南航,2026-09-04
2026-10-22,10,KUL 吉隆坡,PRG 布拉格,19,215,阿拉伯航空,官網,2026-10-22阿拉伯航空,2026-09-04
2026-11-02,13,MNL 馬尼拉,ZRH 蘇黎世,17,249,阿曼航空,官網,2026-11-02阿曼航空,2026-09-04
2026-11-04,15,MNL 馬尼拉,MAD 馬德里,17,761,中國南方航空,mytrip,2026-11-04南航,2026-09-04
2026-11-05,11,TPE 台北,ALA 阿拉圖木,17,006,中國國際航空,Trip.com,2026-11-05國航,2026-09-04
2026-11-17,14,TPE 台北,SEA 西雅圖,18,189,聯合航空,官網,2026-11-17聯合航空,2026-09-04
2026-12-27,11,TPE 台北,URC 烏魯木齊,14,849,中國國際航空+上海航空,mytrip,2026-12-27國航+上航,2026-09-04
2026-11-10,14,TPE 台北,MXP 米蘭,22,729,阿提哈德航空,Trip.com,2026-11-10阿提哈德航空,2026-09-05
2026-11-01,15,MNL 馬尼拉,MXP 米蘭,20,024,阿曼航空,官網,2026-11-01阿曼航空,2026-09-05
2026-10-09,14,MNL 馬尼拉,FCO 羅馬,"16,634",阿曼航空,官網,2026-10-09阿曼航空,2026-09-05
2027-02-10,13,MNL 馬尼拉,VIE 維也納,"16,182",酷航,官網,2027-02-10酷航,2026-09-05
2027-05-05,KHH 高雄,KUL 吉隆坡,6,851,亞洲航空,Expedia,2027-05-05亞洲航空,2026-09-05
